full_name,first_initial_last,first_name,last_name,team_abbr,common_nicknames,player_id
Jaylen Brown,J. Brown,Jaylen,Brown,SAC,,P0067
Moses Brown,M. Brown,Moses,Brown,LAL,,P0068
Bruce Brown,B. Brown,Bruce,Brown,FA,,P0069
Kobe Brown,K. Brown,Kobe,Brown,FA,,P0070
Jalen Brunson,J. Brunson,Jalen,Brunson,MIN,,P0071
Carter Bryant,C. Bryant,Carter,Bryant,CHI,,P0072
Thomas Bryant,T. Bryant,Thomas,Bryant,SAS,,P0073
Kobe Bufkin,K. Bufkin,Kobe,Bufkin,FA,,P0074
Alec Burks,A. Burks,Alec,Burks,FA,,P0076
Jimmy Butler,J. Butler,Jimmy,Butler,MIL,,P0077
Jared Butler,J. Butler,Jared,Butler,FA,,P0078
Matas Buzelis,M. Buzelis,Matas,Buzelis,ATL,,P0079
Jamal Cain,J. Cain,Jamal,Cain,FA,,P0080
Kentavious Caldwell-Pope,K. Caldwell-Pope,Kentavious,Caldwell-Pope,DEN,,P0081
Toumani Camara,T. Camara,Toumani,Camara,BKN,,P0082
Vlatko Cancar,V. Cancar,Vlatko,Cancar,FA,,P0083
Clint Capela,C. Capela,Clint,Capela,DEN,,P0084
Dylan Cardwell,D. Cardwell,Dylan,Cardwell,CLE,,P0085
Branden Carlson,B. Carlson,Branden,Carlson,FA,,P0086
Carlton Carrington,C. Carrington,Carlton,Carrington,FA,,P0087
Devin Carter,D. Carter,Devin,Carter,NYK,,P0088
DJ Carton,D. Carton,DJ,Carton,FA,,P0089
Alex Caruso,A. Caruso,Alex,Caruso,DAL,,P0090
Stephon Castle,S. Castle,Stephon,Castle,BOS,,P0091
Colin Castleton,C. Castleton,Colin,Castleton,BOS,,P0092
Justin Champagnie,J. Champagnie,Justin,Champagnie,DAL,,P0093
Julian Champagnie,J. Champagnie,Julian,Champagnie,FA,,P0094
Ulrich Chomche,U. Chomche,Ulrich,Chomche,FA,,P0095
Max Christie,M. Christie,Max,Christie,GSW,,P0096
Cam Christie,C. Christie,Cam,Christie,GSW,,P0097
Josh Christopher,J. Christopher,Josh,Christopher,BKN,,P0098
Moussa Cisse,M. Cisse,Moussa,Cisse,MIL,,P0099
Sidy Cissoko,S. Cissoko,Sidy,Cissoko,FA,,P0100
Jaylen Clark,J. Clark,Jaylen,Clark,DAL,,P0101
Brandon Clarke,B. Clarke,Brandon,Clarke,ORL,,P0102
Jordan Clarkson,J. Clarkson,Jordan,Clarkson,FA,,P0103
Nicolas Claxton,N. Claxton,Nicolas,Claxton,UTA,,P0104
Nique Clifford,N. Clifford,Nique,Clifford,POR,,P0105
Donovan Clingan,D. Clingan,Donovan,Clingan,CHI,,P0106
Noah Clowney,N. Clowney,Noah,Clowney,IND,,P0107
Amir Coffey,A. Coffey,Amir,Coffey,FA,,P0108
Isaiah Collier,I. Collier,Isaiah,Collier,ATL,,P0109
John Collins,J. Collins,John,Collins,DEN,,P0110
Zach Collins,Z. Collins,Zach,Collins,PHX,,P0111
Yuri Collins,Y. Collins,Yuri,Collins,FA,,P0112
Mike Conley,M. Conley,Mike,Conley,POR,,P0113
Pat Connaughton,P. Connaughton,Pat,Connaughton,FA,,P0114
Javonte Cooke,J. Cooke,Javonte,Cooke,FA,,P0115
Sharife Cooper,S. Cooper,Sharife,Cooper,FA,,P0116
Bilal Coulibaly,B. Coulibaly,Bilal,Coulibaly,WAS,,P0117
Cedric Coward,C. Coward,Cedric,Coward,PHX,,P0118
Torrey Craig,T. Craig,Torrey,Craig,FA,,P0119
Isaiah Crawford,I. Crawford,Isaiah,Crawford,FA,,P0120
Jae Crowder,J. Crowder,Jae,Crowder,DEN,,P0121
Jalen Crutcher,J. Crutcher,Jalen,Crutcher,FA,,P0122
Cade Cunningham,C. Cunningham,Cade,Cunningham,GSW,,P0123
Steph Curry,S. Curry,Steph,Curry,DEN,,P0124
Seth Curry,S. Curry,Seth,Curry,FA,,P0125
Pacôme Dadiet,P. Dadiet,Pacôme,Dadiet,FA,,P0126
Dyson Daniels,D. Daniels,Dyson,Daniels,ATL,,P0127
N'Faly Dante,N. Dante,N'Faly,Dante,FA,,P0128
Anthony Davis,A. Davis,Anthony,Davis,NYK,,P0129
Terence Davis,T. Davis,Terence,Davis,FA,,P0130
Johnny Davis,J. Davis,Johnny,Davis,BOS,,P0131
JD Davison,J. Davison,JD,Davison,POR,,P0132
DeMar DeRozan,D. DeRozan,DeMar,DeRozan,BKN,,P0133
RayJ Dennis,R. Dennis,RayJ,Dennis,FA,,P0134
Donte DiVincenzo,D. DiVincenzo,Donte,DiVincenzo,CLE,,P0135
Moussa Diabaté,M. Diabaté,Moussa,Diabaté,NYK,,P0136
Mohamed Diawara,M. Diawara,Mohamed,Diawara,FA,,P0137
Gradey Dick,G. Dick,Gradey,Dick,SAS,,P0138
Hunter Dickinson,H. Dickinson,Hunter,Dickinson,FA,,P0139
Ousmane Dieng,O. Dieng,Ousmane,Dieng,FA,,P0140
Rob Dillingham,R. Dillingham,Rob,Dillingham,FA,,P0141
Spencer Dinwiddie,S. Dinwiddie,Spencer,Dinwiddie,GSW,,P0142
Nikola Djurisic,N. Djurisic,Nikola,Djurisic,FA,,P0143
Luka Dončić,L. Dončić,Luka,Dončić,CHI,,P0144
