id,name,nba_player_id,overall,photo_url,player_page_url
"P0219","Isaiah Jackson","1630543","","https://cdn.nba.com/headshots/nba/latest/1040x760/1630543.png","https://www.nba.com/player/1630543"
"P0220","Quenton Jackson","1631245","","https://cdn.nba.com/headshots/nba/latest/1040x760/1631245.png","https://www.nba.com/player/1631245"
"P0221","Andre Jackson Jr.","1641748","75","https://cdn.nba.com/headshots/nba/latest/1040x760/1641748.png","https://www.nba.com/player/1641748"
"P0222","Jaren Jackson Jr.","1628991","89","https://cdn.nba.com/headshots/nba/latest/1040x760/1628991.png","https://www.nba.com/player/1628991"
"P0223","Trayce Jackson-Davis","1631218","74","https://cdn.nba.com/headshots/nba/latest/1040x760/1631218.png","https://www.nba.com/player/1631218"
"P0224","Kasparas Jakučionis","1642857","71","https://cdn.nba.com/headshots/nba/latest/1040x760/1642857.png","https://www.nba.com/player/1642857"
"P0225","Bronny James","1642355","68","https://cdn.nba.com/headshots/nba/latest/1040x760/1642355.png","https://www.nba.com/player/1642355"
"P0226","LeBron James","2544","95","https://cdn.nba.com/headshots/nba/latest/1040x760/2544.png","https://www.nba.com/player/2544"
"P0227","Sion James","1642883","70","https://cdn.nba.com/headshots/nba/latest/1040x760/1642883.png","https://www.nba.com/player/1642883"
"P0228","Jaime Jaquez Jr.","1631170","76","https://cdn.nba.com/headshots/nba/latest/1040x760/1631170.png","https://www.nba.com/player/1631170"
"P0229","Trey Jemison III","1641998","71","https://cdn.nba.com/headshots/nba/latest/1040x760/1641998.png","https://www.nba.com/player/1641998"
"P0230","Daniss Jenkins","1642450","","https://cdn.nba.com/headshots/nba/latest/1040x760/1642450.png","https://www.nba.com/player/1642450"
"P0231","Ty Jerome","1629660","79","https://cdn.nba.com/headshots/nba/latest/1040x760/1629660.png","https://www.nba.com/player/1629660"
"P0232","Isaiah Joe","1630198","78","https://cdn.nba.com/headshots/nba/latest/1040x760/1630198.png","https://www.nba.com/player/1630198"
"P0233","AJ Johnson","1642358","69","https://cdn.nba.com/headshots/nba/latest/1040x760/1642358.png","https://www.nba.com/player/1642358"
"P0234","Cameron Johnson","1629661","83","https://cdn.nba.com/headshots/nba/latest/1040x760/1629661.png","https://www.nba.com/player/1629661"
"P0235","Jalen Johnson","1630552","85","https://cdn.nba.com/headshots/nba/latest/1040x760/1630552.png","https://www.nba.com/player/1630552"
"P0236","Keldon Johnson","1629640","78","https://cdn.nba.com/headshots/nba/latest/1040x760/1629640.png","https://www.nba.com/player/1629640"
"P0237","Keshad Johnson","1642352","69","https://cdn.nba.com/headshots/nba/latest/1040x760/1642352.png","https://www.nba.com/player/1642352"
